"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide"
"1","yama1264","Yámana","South America",-55.2748,-68.2648,"yama1264","yag","CL","","",TRUE,TRUE
"2","alac1239","Alacalufe-Austral","South America",-54.788017,-70.140381,"alac1239","","CL","kawe1237","",FALSE,FALSE
"3","haus1240","Haush","South America",-54.7,-65.5,"haus1240","","CL","chon1288","",FALSE,FALSE
"4","onaa1245","Selk'nam","South America",-54,-68.5,"onaa1245","ona","AR","chon1288","",FALSE,FALSE
"5","alac1240","Alacalufe-Central","South America",-53.435719,-71.04126,"alac1240","","AR","kawe1237","",FALSE,FALSE
"6","qawa1238","Qawasqar","South America",-49.303195,-74.707536,"qawa1238","alc","CL","kawe1237","",FALSE,FALSE
"7","tehu1242","Tehuelche","South America",-47.5796,-68.3235,"tehu1242","teh","AR","chon1288","",FALSE,FALSE
"8","chon1248","Chono","South America",-44.298692,-73.879395,"chon1248","","CL","","",TRUE,TRUE
"9","mori1267","Moriori","Papunesia",-44.033333,-176.433333,"mori1267","","","aust1307","maor1246",FALSE,FALSE
"10","brun1235","Bruny Island","Australia",-43.373112,147.247925,"brun1235","","AU","sout1293","",FALSE,FALSE
"11","teus1236","Teushen","South America",-43.187556,-70.187989,"teus1236","","CL","chon1288","",FALSE,FALSE
"12","sout1439","South-Eastern-Tasmanian-Hinterland","Australia",-42.988576,146.885376,"sout1439","","AU","sout1293","",FALSE,FALSE
"13","oyst1235","Oyster Bay-Big River-Little Swanport","Australia",-42.307378,147.50061,"oyst1235","","AU","","",TRUE,TRUE
"14","puel1244","Puelche","South America",-42.223,-68.666,"puel1244","pue","AR","","",TRUE,TRUE
"15","west2205","Western Coastal Tasmanian","Australia",-41.885921,145.204468,"west2205","","AU","west1503","",FALSE,FALSE
"16","benl1235","Ben-Lomond-Cape-Portland","Australia",-41.326418,147.787122,"benl1235","","AU","nort1442","",FALSE,FALSE
"17","port1278","Port Sorell","Australia",-41.188369,146.559906,"port1278","","AU","west1503","",FALSE,FALSE
"18","neta1235","NE Tasmanian Dialect Chain","Australia",-41.058644,147.188415,"neta1235","","AU","nort1442","",FALSE,FALSE
"19","huil1244","Huilliche","South America",-40.0694,-72.767,"huil1244","huh","AR;CL","arau1255","",FALSE,FALSE
