"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","OnLandmasswithHighMountains","Distancetohighmountain"
"1","alac1240","Alacalufe-Central","South America",-53.435719,-71.04126,"alac1240","","AR","kawe1237","",FALSE,FALSE,3.4643021418989,TRUE,TRUE,2392.23316974304
"2","tehu1242","Tehuelche","South America",-47.5796,-68.3235,"tehu1242","teh","AR","chon1288","",FALSE,FALSE,110.892443908022,TRUE,TRUE,1744.37527188537
"3","teus1236","Teushen","South America",-43.187556,-70.187989,"teus1236","","CL","chon1288","",FALSE,FALSE,204.228193307068,TRUE,TRUE,1251.20681386468
"4","puel1244","Puelche","South America",-42.223,-68.666,"puel1244","pue","AR","","",TRUE,TRUE,292.423481712835,TRUE,TRUE,1149.2075508607
"5","huil1244","Huilliche","South America",-40.0694,-72.767,"huil1244","huh","AR;CL","arau1255","",FALSE,FALSE,61.4048429433619,TRUE,TRUE,940.252629310673
"6","mapu1245","Mapudungun","South America",-38.7392,-71.277,"mapu1245","arn","AR;CL","arau1255","",FALSE,FALSE,162.646994837881,TRUE,TRUE,766.954011004465
"7","maor1246","Maori","Papunesia",-38.2881,176.541,"maor1246","mri","NZ","aust1307","",FALSE,FALSE,61.5036724626666,TRUE,TRUE,130.027778059488
"8","char1240","Charrúa","South America",-34.9,-56.16,"char1240","","UY","char1238","",FALSE,FALSE,2.12303480286423,TRUE,TRUE,1240.45958740206
"9","guen1235","Güenoa","South America",-33.810189,-54.473877,"guen1235","","UY","char1238","",FALSE,FALSE,84.8751503212636,TRUE,TRUE,1337.86058011157
"10","chan1296","Chaná","South America",-33.69,-57.78,"chan1296","","UY","char1238","",FALSE,FALSE,52.496681106568,TRUE,TRUE,1047.76061477288
"11","alle1238","Allentiac","South America",-33.480938,-68.096924,"alle1238","","AR","huar1251","",FALSE,FALSE,314.661654541861,TRUE,TRUE,232.241604888225
"12","sero1239","Seroa","Africa",-33.0386,22.0021,"sero1239","kqu","ZA","tuuu1241","",FALSE,FALSE,110.255100141256,TRUE,TRUE,3654.58661534909
"13","mill1237","Millcayac","South America",-31.79729,-67.569581,"mill1237","","AR","huar1251","",FALSE,FALSE,338.424457433433,TRUE,TRUE,182.398873106007
"14","xamm1241","/Xam","Africa",-31.7612,20.1733,"xamm1241","xam","ZA","tuuu1241","",FALSE,FALSE,172.329706164147,TRUE,TRUE,3621.27057886349
"15","xhos1239","Xhosa","Africa",-31.0389,28.0769,"xhos1239","xho","BW;LS;ZA","atla1278","",FALSE,FALSE,132.857718223676,TRUE,TRUE,3215.18075128274
"16","kora1292","Korana","Africa",-30.4207,19.7711,"kora1292","kqz","ZA","khoe1240","",FALSE,FALSE,198.771532958997,TRUE,TRUE,3518.75523922369
"17","nuuu1241","N||ng","Africa",-29.7054,19.0841,"nuuu1241","ngh","ZA","tuuu1241","",FALSE,FALSE,177.950858760157,TRUE,TRUE,3492.5853651869
"18","vaal1235","Vaal-Orange","Africa",-29.4046,22.2901,"vaal1235","gku","ZA","tuuu1241","",FALSE,FALSE,455.565464514349,TRUE,TRUE,3292.19003713502
"19","riog1239","Hunsrik","South America",-29.3255,-51.7219,"riog1239","hrx","BR","indo1319","",FALSE,FALSE,88.2829590536351,TRUE,TRUE,1528.74713164814
"20","abip1241","Abipon","South America",-29,-61,"abip1241","axb","AR","guai1249","",FALSE,FALSE,484.662839076185,TRUE,TRUE,628.572649340006
"21","zulu1248","Zulu","Africa",-28.9,30.2,"zulu1248","zul","BW;SZ;LS;MZ;ZA","atla1278","",FALSE,FALSE,109.806196750725,TRUE,TRUE,2926.46395581015
"22","sout2807","Southern Sotho","Africa",-28.78,27.89,"sout2807","sot","LS;ZA","atla1278","",FALSE,FALSE,294.647287544663,TRUE,TRUE,2986.83509158996
