"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","Distancetomountain"
"1","yama1264","Yámana","South America",-55.2748,-68.2648,"yama1264","yag","CL","","",TRUE,TRUE,0.660863586092652,TRUE,0
"2","alac1239","Alacalufe-Austral","South America",-54.788017,-70.140381,"alac1239","","CL","kawe1237","",FALSE,FALSE,1.07178216959061,TRUE,0
"3","haus1240","Haush","South America",-54.7,-65.5,"haus1240","","CL","chon1288","",FALSE,FALSE,5.8683991176637,TRUE,38.4174214424133
"4","onaa1245","Selk'nam","South America",-54,-68.5,"onaa1245","ona","AR","chon1288","",FALSE,FALSE,46.8949537711114,TRUE,24.8084952523716
"5","alac1240","Alacalufe-Central","South America",-53.435719,-71.04126,"alac1240","","AR","kawe1237","",FALSE,FALSE,3.4643021418989,TRUE,0
"6","qawa1238","Qawasqar","South America",-49.303195,-74.707536,"qawa1238","alc","CL","kawe1237","",FALSE,FALSE,7.56524822188867,TRUE,0
"7","tehu1242","Tehuelche","South America",-47.5796,-68.3235,"tehu1242","teh","AR","chon1288","",FALSE,FALSE,110.892443908022,TRUE,226.085416561318
"8","brun1235","Bruny Island","Australia",-43.373112,147.247925,"brun1235","","AU","sout1293","",FALSE,FALSE,0.78876822242159,TRUE,0
"9","teus1236","Teushen","South America",-43.187556,-70.187989,"teus1236","","CL","chon1288","",FALSE,FALSE,204.228193307068,TRUE,44.4655996156281
"10","sout1439","South-Eastern-Tasmanian-Hinterland","Australia",-42.988576,146.885376,"sout1439","","AU","sout1293","",FALSE,FALSE,12.8945683706461,TRUE,0
"11","oyst1235","Oyster Bay-Big River-Little Swanport","Australia",-42.307378,147.50061,"oyst1235","","AU","","",TRUE,TRUE,30.0413759218661,TRUE,43.0047460093824
"12","puel1244","Puelche","South America",-42.223,-68.666,"puel1244","pue","AR","","",TRUE,TRUE,292.423481712835,TRUE,86.1610206748219
"13","west2205","Western Coastal Tasmanian","Australia",-41.885921,145.204468,"west2205","","AU","west1503","",FALSE,FALSE,7.10295609064801,TRUE,12.8846487260758
"14","benl1235","Ben-Lomond-Cape-Portland","Australia",-41.326418,147.787122,"benl1235","","AU","nort1442","",FALSE,FALSE,34.6323607905058,TRUE,0
"15","port1278","Port Sorell","Australia",-41.188369,146.559906,"port1278","","AU","west1503","",FALSE,FALSE,2.22582670302504,TRUE,27.059499145541
"16","neta1235","NE Tasmanian Dialect Chain","Australia",-41.058644,147.188415,"neta1235","","AU","nort1442","",FALSE,FALSE,5.79154924707022,TRUE,11.0495113084011
"17","huil1244","Huilliche","South America",-40.0694,-72.767,"huil1244","huh","AR;CL","arau1255","",FALSE,FALSE,61.4048429433619,TRUE,8.36443447121991
"18","mapu1245","Mapudungun","South America",-38.7392,-71.277,"mapu1245","arn","AR;CL","arau1255","",FALSE,FALSE,162.646994837881,TRUE,0
"19","cola1237","Colac","Australia",-38.471266,143.422444,"cola1237","","AU","pama1250","",FALSE,FALSE,28.9238685746834,TRUE,192.239009917192
"20","maor1246","Maori","Papunesia",-38.2881,176.541,"maor1246","mri","NZ","aust1307","",FALSE,FALSE,61.5036724626666,TRUE,19.7027329154283
